\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   132.5955544  1.6217708e-04  
 0   132.6159889  -7.5777345e-05 
 0   132.6364233  -5.5507779e-05 
 0   132.6568577  1.7762219e-04  
 0   132.6772919  1.6480373e-05  
 0   132.6977264  -8.4391046e-05 
 0   132.7181608  -1.5196446e-04 
 0   132.7385951  2.1658369e-04  
 0   132.7590296  -1.8434101e-04 
 0   132.7794640  -1.6914203e-04 
 0   132.7998983  2.3194532e-04  
 0   132.8203327  1.4764088e-04  
 0   132.8407672  1.8766438e-04  
 0   132.8612015  1.8087490e-05  
 0   132.8816359  -2.6426290e-04 
 0   132.9020704  1.9473113e-05  
 0   132.9225047  4.3095173e-05  
 0   132.9429390  -6.1952946e-05 
 0   132.9633734  -2.1206446e-04 
 0   132.9838079  1.0130770e-04  
 0   133.0042422  3.6972979e-05  
 0   133.0246766  1.6552191e-04  
 0   133.0451110  9.7799166e-05  
 0   133.0655454  -1.5770359e-04 
 0   133.0859798  1.9593565e-05  
 0   133.1064142  -3.5803835e-04 
 0   133.1268486  -4.2734802e-04 
 0   133.1472830  -1.4942315e-04 
 0   133.1677173  2.0807997e-04  
 0   133.1881517  9.4150950e-05  
 0   133.2085862  -6.4566746e-05 
 0   133.2290205  -1.5077807e-04 
 0   133.2494549  4.7254598e-06  
 0   133.2698893  1.5569554e-04  
 0   133.2903237  -2.9674398e-05 
 0   133.3107581  -4.9197656e-04 
 0   133.3311924  9.9638346e-05  
 0   133.3516269  1.5284773e-04  
 0   133.3720612  1.4677439e-04  
 0   133.3924956  -2.2220172e-04 
 0   133.4129300  -8.4309591e-05 
 0   133.4333644  1.7351318e-04  
 0   133.4537988  3.4246834e-05  
 0   133.4742331  -2.3507425e-08 
 0   133.4946676  -1.7843801e-04 
 0   133.5151020  1.7662041e-04  
 0   133.5355363  -6.4988439e-05 
 0   133.5559707  -2.1077230e-04 
 0   133.5764051  1.6505360e-04  
 0   133.5968394  -4.1539884e-06 
 0   133.6172738  1.7054426e-04  
 0   133.6377083  -2.9689926e-04 
 0   133.6581427  -3.2044707e-05 
 0   133.6785770  8.6602391e-05  
 0   133.6990115  2.0349054e-05  
 0   133.7194459  -9.0859001e-05 
 0   133.7398801  8.5633605e-05  
 0   133.7603145  -3.5997198e-04 
 0   133.7807490  -8.6562650e-05 
 0   133.8011833  3.6388068e-04  
 0   133.8216177  2.9876895e-04  
 0   133.8420521  -1.1888344e-04 
 0   133.8624865  3.2031976e-04  
 0   133.8829209  -1.4605350e-04 
 0   133.9033552  9.3874340e-05  
 0   133.9237896  -1.0708586e-04 
 0   133.9442240  -1.7682156e-04 
 0   133.9646584  -1.5732046e-04 
 0   133.9850927  1.1329595e-04  
 0   134.0055272  2.4361853e-04  
 0   134.0259616  -5.5436805e-05 
 0   134.0463958  2.0567045e-04  
 0   134.0668303  2.0086572e-04  
 0   134.0872647  -6.3466614e-05 
 0   134.1076990  -1.9967523e-04 
 0   134.1281334  -1.4759584e-04 
 0   134.1485679  1.0282488e-05  
 0   134.1690023  8.9168525e-06  
 0   134.1894365  -1.2911255e-04 
 0   134.2098710  4.0388340e-04  
 0   134.2303054  -3.2675356e-04 
 0   134.2507397  2.0697342e-04  
 0   134.2711741  -3.0259474e-05 
 0   134.2916086  7.6699849e-05  
 0   134.3120429  -2.2841191e-04 
 0   134.3324772  -8.9199224e-05 
 0   134.3529117  1.9507192e-04  
 0   134.3733460  -5.0939096e-05 
 0   134.4142148  -3.7539510e-05 
 0   134.4346492  1.9401274e-04  
 0   134.4550835  -1.3800792e-04 
 0   134.4755179  2.1931458e-04  
 0   134.4959524  5.7157482e-05  
 0   134.5163867  2.3176683e-05  
 0   134.5368211  2.1412698e-04  
 0   134.5572554  1.8916524e-05  
 0   134.5776898  -2.1487331e-05 
 0   134.5981242  2.9314670e-04  
 0   134.6185585  -2.3791161e-05 
 0   134.6389929  -1.6160168e-04 
 0   134.6594274  -3.2615320e-05 
 0   134.6798618  -1.2420071e-04 
