\fixlen = T
|set|TIME        |LC_INIT       |
|int|double      |double        |
 0   133.1886598  2.1428516e-05  
 0   133.2090942  -1.9073907e-04 
 0   133.2295284  -3.4015913e-05 
 0   133.2499628  -1.3019236e-04 
 0   133.2703971  5.9091451e-04  
 0   133.2908314  -4.0261068e-05 
 0   133.3112657  2.5948317e-05  
 0   133.3316999  -2.1094162e-04 
 0   133.3521343  -5.1942028e-05 
 0   133.3725687  -1.0044347e-04 
 0   133.3930030  2.1864485e-04  
 0   133.4134373  -3.1335786e-04 
 0   133.4338716  -7.7377277e-05 
 0   133.4543059  6.1479141e-04  
 0   133.4747401  2.3197240e-04  
 0   133.4951745  1.5984368e-04  
 0   133.5156089  2.1440811e-04  
 0   133.5360431  1.0057029e-04  
 0   133.5564775  -1.5957018e-04 
 0   133.5769118  7.3176569e-05  
 0   133.5973460  2.6521890e-04  
 0   133.6177803  -3.4593116e-04 
 0   133.6382147  3.1629350e-04  
 0   133.6586491  -9.4870011e-05 
 0   133.6790833  5.7952355e-05  
 0   133.6995177  -5.9526243e-05 
 0   133.7199520  -7.1111768e-05 
 0   133.7403862  -8.3502564e-05 
 0   133.7608205  4.4799111e-05  
 0   133.7812549  -6.5700769e-05 
 0   133.8016891  3.6490641e-05  
 0   133.8221234  -1.6420865e-05 
 0   133.8425578  1.1515933e-04  
 0   133.8629921  1.4283576e-04  
 0   133.8834264  2.6009082e-05  
 0   133.9038607  -1.5942195e-04 
 0   133.9242950  -2.8163415e-05 
 0   133.9447293  5.5790420e-05  
 0   133.9651636  -6.1258019e-05 
 0   133.9855978  -2.5241074e-04 
 0   134.0060322  -1.6637333e-04 
 0   134.0264666  -1.6913998e-04 
 0   134.0469008  4.5484456e-05  
 0   134.0673352  -1.4659016e-04 
 0   134.0877695  1.3842220e-04  
 0   134.1082037  -2.3116059e-04 
 0   134.1286380  1.2483967e-04  
 0   134.1490724  2.1941683e-05  
 0   134.1695067  -2.4225924e-04 
 0   134.1899409  -1.0937193e-04 
 0   134.2103753  1.8909954e-05  
 0   134.2308096  -5.9210386e-05 
 0   134.2512439  7.5560420e-05  
 0   134.2716782  -1.4496865e-04 
 0   134.2921126  -3.6970314e-04 
 0   134.3125468  2.7147074e-05  
 0   134.3329811  5.9497565e-05  
 0   134.3534155  3.1063912e-04  
 0   134.3738497  -1.4471363e-04 
 0   134.4147183  -4.5864496e-04 
 0   134.4351526  -2.5192459e-04 
 0   134.4555869  2.3848588e-04  
 0   134.4760212  9.7300865e-05  
 0   134.4964556  3.7096577e-06  
 0   134.5168899  2.2011243e-05  
 0   134.5373242  3.1660302e-04  
 0   134.5577584  3.3659374e-04  
 0   134.5781928  1.1528283e-04  
 0   134.5986271  3.4705937e-04  
 0   134.6190613  2.0283641e-04  
 0   134.6394956  1.6600637e-04  
 0   134.6599300  -1.9132400e-04 
 0   134.6803643  3.7042573e-04  
 0   134.7007986  2.5288083e-04  
 0   134.7212329  2.1262931e-04  
 0   134.7416672  2.6574753e-05  
 0   134.7621014  -4.7286936e-05 
 0   134.7825357  -4.7764834e-04 
 0   134.8029701  -8.8292863e-06 
 0   134.8234044  8.4790365e-05  
 0   134.8438386  1.9250448e-04  
