Data for HD 219666
Garbage, time, flux
Generated by R.P. Nelson
1.480000000000000000e+02 1.325505092777671507e+03 9.989321231842041016e-01
1.490000000000000000e+02 1.325506481693764272e+03 1.000032305717468262e+00
1.500000000000000000e+02 1.325507870609622842e+03 1.000539541244506836e+00
1.510000000000000000e+02 1.325509259525714924e+03 9.999402761459350586e-01
1.520000000000000000e+02 1.325510648441575086e+03 1.000125885009765625e+00
1.530000000000000000e+02 1.325512037357667850e+03 9.998282790184020996e-01
1.540000000000000000e+02 1.325513426273526875e+03 9.992809891700744629e-01
1.550000000000000000e+02 1.325514815189385445e+03 9.997630715370178223e-01
1.560000000000000000e+02 1.325516204105478437e+03 9.993897080421447754e-01
1.570000000000000000e+02 1.325517593021337689e+03 9.994632601737976074e-01
1.580000000000000000e+02 1.325518981937429089e+03 1.000636696815490723e+00
1.590000000000000000e+02 1.325520370853289023e+03 1.000297069549560547e+00
1.600000000000000000e+02 1.325521759769381333e+03 9.994109272956848145e-01
1.610000000000000000e+02 1.325523148685240585e+03 1.000142693519592285e+00
1.620000000000000000e+02 1.325524537601100747e+03 1.000084638595581055e+00
1.630000000000000000e+02 1.325525926517192147e+03 1.000945210456848145e+00
1.640000000000000000e+02 1.325527315433051172e+03 9.994624853134155273e-01
1.650000000000000000e+02 1.325528704348911333e+03 1.000170469284057617e+00
1.660000000000000000e+02 1.325530093265003416e+03 9.996457695960998535e-01
1.670000000000000000e+02 1.325531482180862895e+03 1.000253915786743164e+00
1.680000000000000000e+02 1.325532871096721919e+03 9.996910095214843750e-01
1.690000000000000000e+02 1.325534260012814229e+03 1.000193119049072266e+00
1.700000000000000000e+02 1.325535648928673481e+03 9.993005990982055664e-01
1.710000000000000000e+02 1.325537037844532733e+03 9.999641776084899902e-01
1.720000000000000000e+02 1.325538426760625498e+03 9.993990063667297363e-01
1.730000000000000000e+02 1.325539815676484977e+03 9.993170499801635742e-01
1.740000000000000000e+02 1.325541204592343547e+03 9.994062781333923340e-01
1.750000000000000000e+02 1.325542593508203481e+03 9.997320175170898438e-01
1.760000000000000000e+02 1.325543982424295791e+03 9.992665052413940430e-01
1.770000000000000000e+02 1.325545371340154361e+03 1.000061392784118652e+00
1.780000000000000000e+02 1.325546760256014295e+03 9.995357990264892578e-01
1.790000000000000000e+02 1.325548149171874229e+03 1.000066637992858887e+00
1.800000000000000000e+02 1.325549538087966539e+03 9.998261332511901855e-01
1.810000000000000000e+02 1.325550927003825564e+03 1.000079989433288574e+00
1.820000000000000000e+02 1.325552315919685043e+03 9.990266561508178711e-01
1.830000000000000000e+02 1.325553704835544295e+03 1.001402854919433594e+00
1.840000000000000000e+02 1.325555093751403547e+03 1.000748515129089355e+00
1.850000000000000000e+02 1.325556482667495857e+03 9.999367594718933105e-01
1.860000000000000000e+02 1.325557871583354881e+03 1.000737071037292480e+00
1.870000000000000000e+02 1.325559260499214361e+03 1.000626206398010254e+00
1.880000000000000000e+02 1.325560649415074295e+03 9.998888969421386719e-01
1.890000000000000000e+02 1.325562038330934229e+03 9.994211196899414062e-01
1.900000000000000000e+02 1.325563427246792799e+03 9.997044801712036133e-01
1.910000000000000000e+02 1.325564816162652278e+03 1.000326991081237793e+00
1.920000000000000000e+02 1.325566205078512212e+03 1.000163078308105469e+00
1.930000000000000000e+02 1.325567593994603612e+03 1.000806093215942383e+00
1.940000000000000000e+02 1.325568982910463092e+03 1.000485301017761230e+00
1.950000000000000000e+02 1.325570371826323026e+03 1.000316023826599121e+00
1.960000000000000000e+02 1.325571760742182050e+03 1.001325130462646484e+00
1.970000000000000000e+02 1.325573149658041530e+03 9.992132186889648438e-01
1.980000000000000000e+02 1.325574538573901009e+03 9.991806745529174805e-01
1.990000000000000000e+02 1.325575927489760033e+03 1.000786185264587402e+00
2.000000000000000000e+02 1.325577316405619513e+03 9.994677305221557617e-01
2.010000000000000000e+02 1.325578705321478537e+03 9.986621141433715820e-01
2.020000000000000000e+02 1.325580094237338699e+03 1.000437378883361816e+00
2.030000000000000000e+02 1.325581483153197951e+03 9.991409182548522949e-01
2.040000000000000000e+02 1.325582872069057430e+03 1.000076293945312500e+00
2.050000000000000000e+02 1.325584260984917364e+03 9.997808933258056641e-01
2.060000000000000000e+02 1.325585649900775934e+03 9.990926384925842285e-01
2.070000000000000000e+02 1.325587038816635413e+03 1.000344038009643555e+00
2.080000000000000000e+02 1.325588427732495347e+03 1.000707507133483887e+00
2.090000000000000000e+02 1.325589816648353917e+03 1.000518679618835449e+00
2.100000000000000000e+02 1.325591205564212942e+03 1.000151038169860840e+00
2.110000000000000000e+02 1.325592594480073103e+03 9.986677765846252441e-01
2.120000000000000000e+02 1.325593983395931900e+03 9.994202256202697754e-01
2.130000000000000000e+02 1.325595372311790925e+03 1.000375628471374512e+00
2.140000000000000000e+02 1.325596761227650859e+03 9.998554587364196777e-01
2.150000000000000000e+02 1.325598150143278190e+03 1.000612974166870117e+00
2.160000000000000000e+02 1.325599539059137442e+03 1.001205563545227051e+00
2.170000000000000000e+02 1.325600927974996011e+03 9.993456006050109863e-01
2.180000000000000000e+02 1.325602316890855946e+03 1.000753760337829590e+00
2.190000000000000000e+02 1.325603705806715425e+03 1.000328302383422852e+00
2.200000000000000000e+02 1.325605094722573995e+03 1.000002741813659668e+00
2.210000000000000000e+02 1.325606483638433929e+03 1.000257253646850586e+00
2.220000000000000000e+02 1.325607872554293408e+03 1.000013709068298340e+00
2.230000000000000000e+02 1.325609261469919602e+03 9.993068575859069824e-01
2.240000000000000000e+02 1.325610650385779763e+03 1.000198245048522949e+00
2.250000000000000000e+02 1.325612039301638561e+03 1.000137686729431152e+00
2.260000000000000000e+02 1.325613428217497585e+03 1.000075936317443848e+00
